Date,Name of Species,Small (in Rs.),Medium (in Rs.),Large (in Rs.)
6/1/2022,Grey mullet,521.25,0,0
6/1/2022,Hound needle fish,558.21,0,0
6/1/2022,Indian mackerel,451.59,0,0
6/1/2022,Indian squid,559.04,0,0
6/1/2022,Indian white prawn,532.3,0,0
6/1/2022,Indo-pacific seer fish,946.55,0,0
6/1/2022,Japanese threadfin bream,457.63,0,0
6/1/2022,Jinga prawn,482.15,0,0
6/1/2022,John\'s snapper,628.38,0,0
6/1/2022,Kiddi shrimp,402.45,0,0
6/1/2022,Little tuna,575.05,0,0
6/1/2022,Long tail tuna,492.18,0,0
6/1/2022,Malabar anchovy,396.16,0,0
6/1/2022,Malabar blood snapper,552.04,0,0
6/1/2022,Malabar grouper,548.7,0,0
6/1/2022,Narrow-barred spanish mackerel,966.03,0,0
6/1/2022,Pearl Spot,361.46,0,0
6/1/2022,Silver pomfret,641.52,0,0
6/1/2022,Small head hairtail,323.11,0,0
6/1/2022,Spineless cuttle fish,539.77,0,0
6/1/2022,Spiny cheek grouper,630.39,0,0
6/1/2022,Spotted crab,543.9,0,0
6/1/2022,Spotted eagle ray,626.94,0,0
7/1/2022,Asian Seabass,744.34,0,0
7/1/2022,Big eye trevally,590.08,0,0
7/1/2022,Black barred half beak,569.99,0,0
7/1/2022,Black pomfret,699.36,0,0
7/1/2022,Blue Swimming Crab,658.88,0,0
7/1/2022,Bombay duck,338.22,0,0
7/1/2022,Flower tail prawn,626.83,0,0
7/1/2022,Four finger thread fin,572.24,0,0
7/1/2022,Frigate tuna,394.61,0,0
7/1/2022,Giant catfish,619.73,0,0
7/1/2022,Giant tiger prawn,474.7,0,0
7/1/2022,Gold spot mullet,560.64,0,0
7/1/2022,Gold spotted granadier anchovy,269.93,0,0
7/1/2022,Greasy grouper,610.58,0,0
7/1/2022,Green mud crab,690.93,0,0
7/1/2022,Grey mullet,515.05,0,0
7/1/2022,Hound needle fish,551.64,0,0
7/1/2022,Indian mackerel,479.36,0,0
7/1/2022,Indian squid,536.9,0,0
7/1/2022,Indian white prawn,539.99,0,0
7/1/2022,Indo-pacific seer fish,938.78,0,0
7/1/2022,Japanese threadfin bream,462.29,0,0
7/1/2022,Jinga prawn,482.2,0,0
7/1/2022,John\'s snapper,592.88,0,0
